[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='255' [ RunTime:0.000387s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001003s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000247s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001121s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='45' LIMIT 1   [ RunTime:0.000181s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.000986s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000160s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.000993s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='251' [ RunTime:0.000285s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001069s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000172s ]
[ 2013-05-05T23:38:01+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001026s ]
