[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT * FROM `pp_items_cate` WHERE id=61 and status=1 LIMIT 1   [ RunTime:0.000152s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT COUNT(*) AS tp_count FROM `pp_items_cate` WHERE pid=61 and status=1 LIMIT 1   [ RunTime:0.000298s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 427 行.
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT COUNT(*) AS tp_count FROM `pp_items` WHERE cid in(61) and status=1  LIMIT 1   [ RunTime:0.000157s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001475s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.000901s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | SQL: SELECT * FROM `pp_items` WHERE cid in(61) and status=1  AND status=1 ORDER BY sort_order DESC,id DESC LIMIT 0,5   [ RunTime:0.000277s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 401 行.
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ view_template ] --START--
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Run LocationTemplate Behavior [ RunTime:0.000220s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000254s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ view_parse ] --START--
