[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001148s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000227s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001043s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000192s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.000966s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000148s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.000866s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='273' [ RunTime:0.000581s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001398s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000180s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.000991s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000163s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.000855s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000239s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.000991s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='279' [ RunTime:0.000434s ]
